0,1
济南,信息技术/智能/制造/高端/装备/量子/科技/生物/医药/先进/材料/产业/金融/现代/物流/医养/健康/文化/旅游/科技/服务/区域性/经济/中心/金融中心/物流/中心/科技/创新/中心
青岛,西海岸/新区/蓝谷/核心区/高新区/胶东/临空/经济/示范区/胶州湾/青岛/老城区/有机/更新/示范/胶州/平度/莱西/经济/转型/升级/示范/园区/海洋/科学城/战略/母港/城/国际/航运/枢纽/国家/沿海/重要/中心/城市/综合/功能/新/一代/信息技术/轨道/交通/智能/家电/海洋/经济/高端/软件/生物/医药/航空航天/航运/物流/财富/金融/影视/文化/时尚/消费/平台/经济/分享/经济/标准/经济/绿色/经济/自由/贸易/港/海洋/发展/中心/创新/中心/先进/制造业/国际/海洋/名城
烟台,烟台/经济/技术开发区/烟台/高新技术/产业/开发区/烟台/东部/产城/融合/发展/示范区/招远/经济/技术开发区/中心/城区/功能/产业/更新/国家/现代/农业/产业园/海洋/经济/高端/装备/信息技术/生物/医药/高端/石化/先进/材料/航空航天/金融/商务/医养/健康/文化/旅游/高效/农业/国家/海洋/经济/发展/示范区/科技/创新/成果/转化/示范区
淄博,国家/省级/经济/技术开发区/高新技术/产业/开发区/海关/特殊/监管/区/新/能源/电池/新/能源/汽车/智能卡/微/机电/新/材料/生物/医药/信息技术/文化/旅游/现代/金融
枣庄,人工智能/信息技术/新/能源/新/材料/医养/健康
东营,航空航天/石化/装备/新/能源/文化/旅游
潍坊,虚拟/现实/人工智能/新/能源/电池/高端/装备/制造/生物/基/材料/信息技术/现代/种业
济宁,第三代/半导体/生命/健康/信息技术/文化/旅游/生物/医药
泰安,人工智能/生命/健康/信息技术/高端/装备/制造/文化/旅游/体育/新/能源
威海,生命/健康/前沿/新/材料/医疗/器械/海洋生物/时尚/创意
日照,生命/健康/通用/航空/文化/旅游/海洋生物/医药/现代/物流/高端/装备/制造
莱芜,航天/航空/服务/清洁/能源/冶金/新/材料/全域/旅游
临沂,生命/健康/航空航天/机器人/信息技术/磁性/材料/文化/旅游/新/能源/生物/医药/节能/环保
德州,生命/健康/航空航天/材料/新/能源/生物/医药/体育/高端/装备/制造
聊城,医养/健康/新/能源/汽车/新/材料/生物/医药
滨州,航空航天/材料/新/能源/电池/高端/装备/制造/高端/化工/新/能源
菏泽,生命/健康/高端/装备/新/材料/高端/化工/生物/医药/信息技术/节能/环保
